Date,Time,pres (psi),temp (f)
12/18/2019,01:30:00,12.458,46.728
12/18/2019,02:00:00,12.4519,46.728
12/18/2019,02:30:00,12.4458,46.728
12/18/2019,03:00:00,12.4458,46.728
12/18/2019,03:30:00,12.4442,46.728
12/18/2019,04:00:00,12.4366,46.728
12/18/2019,04:30:00,12.4381,46.728
12/18/2019,05:00:00,12.4335,46.728
12/18/2019,05:30:00,12.4381,46.728
12/18/2019,06:00:00,12.4351,46.728
12/18/2019,06:30:00,12.4381,46.728
12/18/2019,07:00:00,12.4381,46.728
12/18/2019,07:30:00,12.4366,46.728
12/18/2019,08:00:00,12.4381,46.728
12/18/2019,08:30:00,12.4381,46.728
12/18/2019,09:00:00,12.4412,46.728
12/18/2019,09:30:00,12.4473,46.728
12/18/2019,10:00:00,12.4489,46.728
12/18/2019,10:30:00,12.4473,46.728
12/18/2019,11:00:00,12.4458,46.728
12/18/2019,11:30:00,12.4442,46.728
12/18/2019,12:00:00,12.4396,46.728
12/18/2019,12:30:00,12.4321,46.728
12/18/2019,13:00:00,12.426,46.728
12/18/2019,13:30:00,12.4229,46.728
12/18/2019,14:00:00,12.4199,46.728
12/18/2019,14:30:00,12.4244,46.728
12/18/2019,15:00:00,12.426,46.728
12/18/2019,15:30:00,12.426,46.728
12/18/2019,16:00:00,12.4321,46.728
12/18/2019,16:30:00,12.4351,46.728
12/18/2019,17:00:00,12.4366,46.728
12/18/2019,17:30:00,12.4351,46.728
12/18/2019,18:00:00,12.4366,46.728
12/18/2019,18:30:00,12.4412,46.728
12/18/2019,19:00:00,12.4442,46.728
12/18/2019,19:30:00,12.4489,46.728
12/18/2019,20:00:00,12.4534,46.728
12/18/2019,20:30:00,12.4519,46.728
12/18/2019,21:00:00,12.4595,46.728
12/18/2019,21:30:00,12.4595,46.728
12/18/2019,22:00:00,12.4641,46.728
12/18/2019,22:30:00,12.4641,46.728
12/18/2019,23:00:00,12.4672,46.728
12/18/2019,23:30:00,12.4672,46.728
12/19/2019,00:00:00,12.4718,46.728
12/19/2019,00:30:00,12.4686,46.728
12/19/2019,01:00:00,12.4686,46.728
12/19/2019,01:30:00,12.4686,46.728
12/19/2019,02:00:00,12.4686,46.728
